gene	lowMean	highMean	logFC	pValue	fdr
KCNA4	0.240003187250996	0.7856034	1.71074760847893	8.88610232085765e-07	1.37107151653279e-05
RNASE3	0.218641035856574	0.4481338	1.03536534423175	4.15413897889856e-08	8.58884211344888e-07
SLC22A31	1.99538366533865	23.6471968	3.56693109834111	1.11471648442934e-67	4.99355827808197e-64
AC126564.1	0.0179581673306773	0.1324548	2.88278809356496	6.43837640731678e-08	1.28090807606114e-06
ASPA	0.199859362549801	0.4314196	1.11010656326825	1.25580324471416e-16	7.43468713908088e-15
PZP	0.295062549800797	0.5941142	1.00971944966107	2.84174558755742e-07	4.88991279784688e-06
LCN10	0.0156828685258964	0.0508856	1.69806798467333	0.000135715914108925	0.00113039118048332
CNTN6	0.0542888446215139	0.5299922	3.28724344162077	1.70315446611798e-51	8.80334341159982e-49
AC125421.1	0.0613338645418327	0.1229576	1.00340514986135	6.38525820867215e-13	2.6984743731555e-11
ERICH3	0.563170119521912	1.1273732	1.00132248202229	2.61655024276852e-06	3.63075051239712e-05
APOBEC4	0.321384462151394	0.6633	1.04536134458786	4.19201932409133e-06	5.51047425740177e-05
MUC22	0.0693446215139442	0.1760756	1.34433910476759	6.06145320734214e-06	7.59497449852973e-05
AL356417.3	0.0375557768924303	0.0800726	1.0922738094646	5.28862902322136e-11	1.73562601814583e-09
SMIM6	0.680353386454183	2.0210128	1.57072225390877	1.56993074664814e-34	3.03572651859055e-32
TMC5	4.77070478087649	13.4122544	1.49127743531635	1.02519911452088e-30	1.52239236464598e-28
ADRA1B	0.555026693227092	1.1385868	1.03661521668484	7.8315428033539e-16	4.31344687435545e-14
ELN-AS1	0.882412749003984	2.1046906	1.2540826254284	8.37689390898864e-13	3.47997147582375e-11
CYP4B1	7.98480717131474	34.801866	2.12383518942212	1.58289518650367e-33	2.79901689623984e-31
SLC24A4	0.105882470119522	0.247158	1.22296984752817	2.52112053327451e-09	6.4969010252495e-08
NTRK3	0.1478796812749	0.3626244	1.29405216413509	7.35079723786435e-08	1.44109940305848e-06
CRTAC1	3.45299402390438	24.1669706	2.80711689598686	2.36395997872073e-53	1.47763991414083e-50
CPS1	2.18527131474104	10.2881252	2.23509578924127	0.00724938113005091	0.0284825395045955
SBK3	0.191819920318725	0.4526324	1.23858730757559	6.12727203238899e-16	3.3956457254959e-14
RPL13AP17	0.114974900398406	1.3653838	3.56991568677134	1.46170234648146e-42	4.41434108637401e-40
CDH6	2.11613984063745	4.7444578	1.16480825639412	1.87108804549701e-07	3.36845977808899e-06
KRT85	1.09281354581673	0.4282794	-1.3514230803906	0.00921737346897946	0.0342235894597638
KCNQ3	0.802	2.3084312	1.52523859345435	6.86900918640563e-37	1.47700183129768e-34
KRT7-AS	1.95231354581673	4.4623088	1.19260558271359	1.54697954111439e-24	1.66986811670974e-22
AC083967.1	0.503049800796813	1.2704488	1.33656509914358	0.00237228286558663	0.0118903206225875
AC026904.1	0.147334661354582	0.4196422	1.51006289242211	0.0105162171040001	0.0379249809903817
GRIA1	0.246226693227092	0.649718	1.39982650298623	1.11420861883664e-08	2.559632415136e-07
SFTPD-AS1	0.0638525896414343	0.1720488	1.43000079267436	2.7831844735424e-21	2.37480737396421e-19
LINC02016	0.020798406374502	0.1501724	2.85207479123421	3.1167395203126e-16	1.77859288379962e-14
AC021055.1	2.20436972111554	0.8677456	-1.3450221659409	0.00743542600501296	0.0290647731475768
AL445493.3	0.0781430278884462	0.3835564	2.29524967091885	5.72396451047932e-24	6.03328306324169e-22
AL008733.1	0.0994123505976096	0.6184468	2.63715249433191	2.40270147788577e-31	3.73293701286785e-29
AL022098.1	0.0961745019920319	0.383057	1.99383272622541	1.0453520683236e-37	2.34141440770014e-35
ADAMTS9-AS1	0.104943027888446	0.252114	1.26446991257975	1.0234425036764e-10	3.19489983900282e-09
AC026992.2	0.0899227091633466	0.236086	1.39255508528222	6.8767853455806e-23	6.672716119802e-21
AC024337.1	0.0710533864541833	0.1494704	1.07288449609807	2.2628151612803e-05	0.000240015571842509
SLC6A20	0.494499203187251	1.0736252	1.11845033840254	6.77784672848833e-15	3.45028341606646e-13
TFPI2	16.3712960159363	63.68359	1.95975313070327	4.18044386971574e-12	1.59605071491789e-10
NMRK2	0.0605788844621514	0.1225278	1.01622219873657	3.1867144314346e-05	0.000325056965799238
TEKT1	1.07768605577689	2.2829024	1.0829322188062	1.16704638309405e-06	1.75043932392868e-05
GPR83	0.788540239043825	0.3653928	-1.10973617112427	0.00813792029314855	0.0310840894972886
LINC02721	0.0940820717131474	0.3289934	1.80606690788848	0.00115203052583664	0.00668341818982025
MYO1G	5.27551593625498	10.7354114	1.02499337999776	1.55883946685566e-18	1.09969782651303e-16
ADH1B	1.59201155378486	7.0649712	2.14983287343514	1.28177675898433e-24	1.40618758073391e-22
SDR16C5	13.8711374501992	31.5971484	1.18770826773059	3.76490331745092e-19	2.7724129141492e-17
RRAD	14.1955693227092	38.6783926	1.44608712995201	3.41622371462974e-25	3.81001082995096e-23
AC107385.2	0.147172908366534	2.604511	4.14542850103114	8.04425968577122e-31	1.21468321255145e-28
OR52N2	0.079493625498008	0.1733928	1.12513291092447	1.20917689213065e-05	0.000139366451572417
B3GNT6	0.432165338645418	2.7584914	2.67422421051419	1.58351364300993e-25	1.80507529359332e-23
PACRG-AS3	0.010009561752988	0.0247156	1.30404311973197	9.81427380132278e-12	3.53129921327917e-10
AP002954.2	0.182363346613546	0.4168462	1.19269939364816	7.27383812246149e-05	0.000661164088791072
AC105053.1	0.033690438247012	0.1056892	1.64941686007628	2.19501149056003e-16	1.26876384609188e-14
LINC01108	0.0956139442231076	0.3432566	1.84399452062041	5.09057212679753e-23	5.04887076103557e-21
PAEP	1.96604183266932	20.153682	3.35767751343632	2.2706646224369e-09	5.89670760597672e-08
MYBPHL	0.241581673306773	1.0225908	2.08164603237586	1.18729251927461e-26	1.47740964504921e-24
C8orf34	0.181988047808765	0.5159114	1.50327962227368	2.54761839136955e-40	6.71322422776772e-38
AC002460.2	0.0266864541832669	0.0542142	1.02256314953215	1.3487379467119e-07	2.48979248157434e-06
KCNA5	0.329019920318725	0.6764642	1.03983865183781	2.21128750561327e-07	3.9050581850114e-06
AC022733.1	1.1179171314741	2.826258	1.33807992206384	1.81876377127973e-15	9.77694652889132e-14
FAM216B	1.37533227091633	3.3133426	1.26850717991212	3.40618304561334e-10	9.90815886363586e-09
AGRP	0.510330278884462	1.5563918	1.6087021371985	2.22200540619828e-16	1.28161075767806e-14
CPM	10.8128183266932	47.4511184	2.13369948531496	3.99288064963294e-24	4.22522228743442e-22
AL360267.2	0.208156972111554	0.4613044	1.14804717151884	5.54847727770318e-16	3.0812390964898e-14
AL138900.2	0.0946709163346614	1.3190842	3.80047156138868	6.97786056818095e-44	2.25964983556106e-41
NKAIN4	0.669853386454183	1.9157014	1.51595543932533	1.82056855704047e-11	6.28154578640998e-10
MSLN	40.227490438247	92.4391608	1.20032242317223	1.61394327956931e-16	9.40988448335443e-15
MS4A8	2.37546653386454	8.3831326	1.81927856754921	2.94718118169796e-11	9.90179197520972e-10
AQP4	1.92498725099602	32.2540138	4.06655790949981	4.05206507365359e-63	9.90103682269647e-60
VSX1	0.0751553784860558	0.1654216	1.13819936811033	0.00405096126654854	0.0180553816413527
ARHGEF38-IT1	0.138393227091633	0.3661198	1.4035424578581	3.83385371204058e-19	2.81547322601712e-17
WARS1P1	0.0814498007968127	0.2835748	1.79974625709733	1.28998263761594e-10	3.98530498090129e-09
CST6	19.7309067729084	45.3118208	1.19943020545499	5.91794985946293e-14	2.77112641677081e-12
AC061975.1	0.0989836653386454	0.0450196	-1.13663722732923	0.00321836664571109	0.0151308831036247
AC090001.1	0.106387250996016	0.4213804	1.98579793585279	2.64729091729262e-20	2.11767515699378e-18
ADGB	0.0784932270916335	0.1892186	1.26941383179895	1.66594894021034e-09	4.40288845771618e-08
LINC02137	1.43729043824701	0.6367578	-1.17453498953495	4.97566939034989e-06	6.38968188599256e-05
CHIAP2	0.0324091633466135	0.4166826	3.68447517406281	1.76365653678074e-30	2.57628045628221e-28
TNXB	1.08389123505976	2.3848006	1.13764864918795	7.82908132885172e-14	3.62810427511856e-12
IL37	0.31721235059761	1.3649936	2.10537333856216	0.00754030630738133	0.0293460473563717
NRGN	9.75768326693227	47.0986826	2.27107614724284	2.49894625545194e-56	2.23888924846791e-53
TNFRSF10C	0.705356972111554	2.2093344	1.64718632148485	1.35237372473841e-41	3.95098923625206e-39
C16orf89	3.61711553784861	47.1485154	3.70430075803013	5.51926296152789e-67	2.11923928399924e-63
CEACAM8	0.0287059760956175	0.070062	1.28728105938944	1.82508401455639e-08	4.0399001473174e-07
MAJIN	0.0969741035856574	0.2116856	1.12625169288955	0.00227204591274336	0.0114875940637163
STMND1	0.403005179282868	0.8339338	1.04913448315461	1.54751135969176e-06	2.26670355998884e-05
BPIFA2	0.476122709163347	1.3826332	1.53801312691289	2.92786932877111e-33	4.98071340624746e-31
DPPA3P2	0.0724215139442231	0.221309	1.61157188135304	2.95122963187217e-23	2.94881598682008e-21
C1orf158	0.191173306772908	0.4275862	1.16133419584074	1.06267407792301e-07	2.00579732207968e-06
PRSS2	7.01360876494024	33.3772356	2.25063561030245	6.56669611241955e-28	8.60973941998111e-26
AC112236.1	0.918032270916335	0.448288	-1.03411898741837	8.49330675988748e-06	0.000101821186035796
C5orf49	1.8867235059761	3.8569072	1.03156141856195	6.05523359935221e-15	3.11786530044806e-13
SFTPC	23.9355908366534	677.5128144	4.82301890996493	7.82952396334184e-40	2.00420900082573e-37
KRT84	1.58967928286853	0.366242	-2.11786658023393	0.000388211249635864	0.00272294936526951
AC025470.2	0.0352924302788845	0.0781292	1.1465030626215	0.00744628547870719	0.0290945284338846
PLA2G1B	0.45974780876494	5.8021858	3.65768189121451	8.86614474556466e-54	5.95760596178217e-51
MORN5	1.51343944223108	3.0976874	1.03336061408654	1.91507301056357e-05	0.000208564212580462
HSD17B6	5.06261912350598	10.282895	1.0222906365567	1.03649242968993e-16	6.19085411671243e-15
SPATA4	0.164306374501992	0.365085	1.15184394215517	3.3205917380166e-07	5.63808368505434e-06
MS4A15	1.60939043824701	7.9872792	2.31118977835821	5.83971446077516e-30	8.17499194149556e-28
IL13RA2	4.42681314741036	9.692389	1.13058382831253	0.000422198526806336	0.00292169207093221
TFF1	6.69427250996016	14.934967	1.15769486344489	9.22531620529964e-18	6.10734110753802e-16
CRB1	0.0229756972111554	0.0523016	1.18674644016802	0.0148770721805874	0.049351666494748
CYP27B1	5.86760517928287	14.4372046	1.29894772480547	0.000302512731094507	0.00222035496735814
AL161757.1	0.67227609561753	0.295359	-1.18658427845589	0.00107549467394475	0.00630747236445276
FO681492.1	0.129594820717131	0.4485146	1.79114688658639	2.05209536941864e-34	3.93972995280244e-32
PEBP4	1.54133665338645	28.1039672	4.1885198881001	3.9686452374902e-60	5.07948793777436e-57
ASCL3	0.171997609561753	1.1621284	2.75630905702194	0.00244932493493412	0.0121777572329188
OR51E2	0.62433984063745	0.1917708	-1.70294846562263	1.12783687153749e-05	0.000131400084235738
AC130456.2	0.13704422310757	0.3795558	1.46967048272635	3.95378395670788e-22	3.61461922409505e-20
AVPR1B	0.0364653386454183	0.1192568	1.70947383352455	1.36025874328658e-05	0.000153941197903397
PGM5P4-AS1	0.0263430278884462	0.0831438	1.65818750669636	1.30960970631967e-12	5.32521780430561e-11
RD3	0.0436693227091633	0.0927518	1.0867551240919	3.33792722965083e-07	5.66036644028738e-06
TRHDE	0.168898406374502	0.338252	1.00194274873808	3.62924435830295e-11	1.21326902814013e-09
MYZAP	0.627494422310757	1.28344	1.03234131205169	3.20113489987287e-19	2.36373911645008e-17
ATP1A2	0.365695219123506	0.857269	1.2291062086631	4.31642901911234e-11	1.42352121687977e-09
CHIA	0.0517884462151394	0.9629692	4.21678747534258	8.81740668237495e-51	4.30898648743407e-48
LHCGR	0.0137	0.036909	1.42979675703428	0.000216651907636446	0.00167573236646112
MIR1-1HG-AS1	0.0531227091633466	0.107588	1.01811654501869	2.20897923250992e-05	0.000235420078554328
LRRN4	0.525006374501992	4.2731966	3.02490884878809	2.49481660741286e-62	5.15812929031099e-59
C4BPA	6.44533107569721	84.8776776	3.71905881000663	1.77471084453538e-59	2.16821263997372e-56
AL034550.2	0.0596270916334661	0.132154	1.14818021792087	0.000485029250162871	0.00327142187851384
CD300LG	0.1242203187251	0.339734	1.45150443332853	3.34985957590603e-14	1.60209120429186e-12
LPL	7.33801195219124	18.5766152	1.34002649613177	3.98117219558995e-19	2.90777027915942e-17
AC236972.3	0.0327673306772908	0.3562214	3.44244413232771	4.50485240348337e-40	1.16424445096948e-37
IGFN1	0.174878884462151	0.4112092	1.23351643904693	0.00131087616239993	0.00740130071104769
CTD-3080P12.3	0.052991235059761	0.1817172	1.77786932323875	0.0122585335065658	0.0427181205224265
CCL23	1.19284262948207	3.5560766	1.57588267871542	1.86012147876061e-15	9.95943129604137e-14
PIGR	27.8246569721116	91.0570766	1.71040724033106	1.32703164097863e-38	3.18463896841282e-36
AL512380.1	0.264856573705179	0.922972	1.80107556523047	0.000324838131450667	0.00235463842964699
MGC32805	0.718765338645418	1.8420204	1.3576962951856	1.1963385443469e-37	2.65745350371537e-35
SSTR1	0.546033864541833	1.863117	1.77065594175623	4.59680030646331e-34	8.52088266462902e-32
CCDC177	1.44860796812749	0.6839186	-1.08277068517858	0.00439554063258871	0.0192384532035042
PRSS29P	0.0403868525896414	0.558866	3.79054478367577	0.00673161376945689	0.0268924368156157
CSF3R	5.36078645418327	15.4306856	1.525285591742	4.06867528429254e-36	8.54358236650116e-34
SEC14L3	0.074103984063745	0.222314	1.58497578992992	3.84008827422114e-11	1.27267438513583e-09
LRRK2-DT	0.832869721115538	4.3741454	2.39283842792657	1.65356044555871e-50	7.93649958137982e-48
LRRC10B	1.92411314741036	4.2895306	1.15662614412807	3.02317666926496e-05	0.000309904433701387
PCP4	4.84007250996016	16.6911344	1.78598144364446	2.9768284833251e-41	8.51182935902256e-39
KIF19	0.75512828685259	1.5179994	1.00737755430035	0.00198462426639747	0.0103317471604672
SPP2	0.0574370517928287	0.1438078	1.32408832476398	9.35458022898459e-12	3.39314989736367e-10
